"STATION","DATE","ADPT","ASLP","ASTP","AWBT","AWND","CDSD","CLDD","DP01","DP05","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYNT","DYSD","DYSN","DYTS","DYXP","DYXT","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HN04","HN05","HN06","HN07","HN08","HN09","HN10","HN11","HN12","HN13","HN14","HN15","HTDD","HX01","HX02","HX03","HX04","HX05","HX06","HX07","HX08","HX09","HX10","HX11","HX12","HX13","HX14","HX15","LN01","LN02","LN03","LN04","LN05","LN06","LN07","LN08","LN09","LN10","LN11","LN12","LN13","LN14","LN15","LX01","LX02","LX03","LX04","LX05","LX06","LX07","LX08","LX09","LX10","LX11","LX12","LX13","LX14","LX15","MN01","MN02","MN03","MN04","MN05","MN06","MN07","MN08","MN09","MN10","MN11","MN12","MN13","MN14","MN15","MNPN","MX01","MX02","MX03","MX04","MX05","MX06","MX07","MX08","MX09","MX10","MX11","MX12","MX13","MX14","MX15","MXPN","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","TAVG","TIME","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USC00118740","1902-08",,,,,,,"96.0","8",,"6","4",,,"0","0","0","31","2",,,"19020823",,,,"19020818","19020803","8.9",,,"78.7","32.2",,,,,,,,,,,,,,,,,,"6.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248.5",,,,,,"21.22",,"26.90","15.55",,,,,,,,,,,,
"USC00118740","1902-09",,,,,,,"22.9","9",,"8","1",,,"0","0","0","19","0",,,"19020913",,,,"19020924","19020908","1.1",,,"47.0","28.9",,,,,,,,,,,,,,,,,,"68.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124.4",,,,,,"16.81",,"22.80","10.82",,,,,,,,,,,,
"USC00118740","1902-10",,,,,,,"3.3","6",,"2","1",,,"0","2","0","13","0",,,"19021029",,,,"19021003","19021024","-0.6",,,"25.4","25.6",,,,,,,,,,,,,,,,,,"155.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.4",,,,,,"13.42",,"19.36","7.49",,,,,,,,,,,,
"USC00118740","1902-11",,,,,,,"0.3","8",,"6","0",,"1","0","8","0","6","0",,,"19021128",,"19021126",,"19021105","19021111","-10.0",,"64","24.1","23.9",,,,,,,,,,,,,,,,,,"295.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.7",,,,,"64","8.50",,"13.36","3.63",,,,,,,,,,,,
"USC00118740","1902-12",,,,,,,"0.0","12",,"8","0",,"2","1","28","10","0","0",,,"19021226",,"19021213",,"19021220","19021201","-17.8",,"64","12.4","10.6",,,,,,,,,,,,,,,,,,"658.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.7",,,,,"89","-2.92",,"0.96","-6.79",,,,,,,,,,,,
"USC00118740","1903-01",,,,,,"0.0","0.0","5",,"5","0",,"3","4","29","16","0","0","2",,"19030112",,"19030111",,"19030102","19030128","-24.4",,"102","9.7","11.7",,,,,,,,,,,,,,,,,,"708.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.4",,,,,"191","-4.52",,"0.00","-9.04",,,,,,,,,,,,
"USC00118740","1903-02",,,,,,"0.0","0.0","9",,"7","0",,"2","5","25","10","0","0","5",,"19030217",,"19030208",,"19030203","19030227","-27.2",,"203","21.1","12.8",,,,,,,,,,,,,,,,,,"611.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.1",,,,,"305","-3.50",,"1.25","-8.25",,,,,,,,,,,,
"USC00118740","1903-03",,,,,,"1.6","1.6","8",,"5","0","0","0","0","16","1","3","0","8",,"19030301","19030331","19030323",,"19030320","19030319","-9.4","0","13","10.7","24.4",,,,,,,,,,,,,,,,,,"358.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.5",,,,,"13","6.81",,"12.61","1.01",,,,,,,,,,,,
"USC00118740","1903-04",,,,,,"3.0","1.4","11",,"9","2","0","1","0","7","0","8","0",,,"19030404","19030430","19030403","1","19030410","19030402","-7.2","0","38","54.4","26.7",,,,,,,,,,,,,,,,,,"238.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145.0",,,,,"38","10.43",,"17.00","3.85",,,,,,,,,,,,
"USC00118740","1903-05",,,,,,"54.6","51.6","7",,"5","1","0","0","0","2","0","23","0",,,"19030501","19030531","19030531","4","19030521","19030517","-3.3","0","0","59.7","30.0",,,,,,,,,,,,,,,,,,"68.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.4",,,,,"0","17.79",,"24.62","10.95",,,,,,,,,,,,
