year,temp_avg_f,temp_max_f,temp_min_f,temp_extreme_max_f,temp_extreme_min_f,precip_total_mm,precip_max_daily_mm,days_max_gte_90f,days_min_lte_32f,gdd_base50,temp_range_f,months_available,complete_season,data_quality_score
1902,66.227,76.73,55.733000000000004,89.96000000000001,33.98,372.9,78.7,2.0,0.0,2921.670000000002,20.997,2,False,60
1903,65.378,77.111,53.633,96.08000000000001,19.04,525.2,59.7,20.0,9.0,2766.96,23.478,6,True,100
1904,64.028,75.488,52.568000000000005,91.94,21.92,394.7,40.9,8.0,12.0,2525.040000000001,22.919999999999995,6,True,100
1905,66.533,77.603,55.454,96.98,26.060000000000002,480.4,43.9,19.0,11.0,2975.1299999999987,22.148999999999994,6,True,100
1906,67.127,79.034,55.226,93.91999999999999,26.060000000000002,452.2,56.1,23.0,4.0,3083.399999999999,23.808000000000007,6,True,100
1907,62.46200000000001,72.64399999999999,52.28,93.02,21.92,602.4,61.2,11.0,17.0,2243.1599999999994,20.36399999999999,6,True,100
1908,66.194,77.054,55.342999999999996,93.91999999999999,19.939999999999998,536.9,44.2,19.0,5.0,2915.729999999999,21.711000000000006,6,True,100
1909,64.688,75.182,54.197,93.91999999999999,21.92,738.7,61.0,18.0,10.0,2644.1100000000015,20.985,6,True,100
1910,65.012,75.77300000000001,54.245000000000005,95.0,23.0,493.4,38.1,17.0,8.0,2701.6200000000026,21.528000000000006,6,True,100
1911,67.772,78.76700000000001,56.768,102.02,26.060000000000002,501.2,69.1,38.0,6.0,3198.1500000000024,21.99900000000001,6,True,100
1912,66.125,76.079,56.171,95.0,28.94,486.9,45.0,17.0,4.0,2902.5,19.907999999999994,6,True,100
1913,68.336,79.772,56.894,102.91999999999999,30.92,252.4,22.1,51.0,5.0,3299.9399999999996,22.878000000000007,6,True,100
1914,67.709,78.665,56.75299999999999,98.96000000000001,21.92,340.8,34.8,43.0,8.0,3187.620000000001,21.912000000000013,6,True,100
1915,64.829,74.50099999999999,55.163000000000004,89.96000000000001,26.060000000000002,621.5,77.2,1.0,7.0,2669.759999999999,19.337999999999987,6,True,100
1916,66.143,76.907,55.385,100.94,26.060000000000002,399.8,37.6,38.0,6.0,2906.28,21.522,6,True,100
1917,62.834,73.115,52.550000000000004,93.91999999999999,24.08,588.6,41.9,12.0,6.0,2309.8499999999995,20.56499999999999,6,True,100
1918,64.733,75.464,54.008,100.94,23.0,749.1,77.0,20.0,9.0,2652.480000000001,21.455999999999996,6,True,100
1919,67.139,78.098,56.177,96.08000000000001,24.08,505.5,59.9,33.0,4.0,3084.7500000000005,21.921,6,True,100
1920,64.76,75.308,54.215,98.06,19.04,469.6,36.1,22.0,12.0,2657.0700000000024,21.093000000000004,6,True,100
1921,69.197,79.445,58.946,98.06,26.060000000000002,626.4,114.3,37.0,5.0,3455.189999999999,20.498999999999995,6,True,100
1922,67.988,78.857,57.125,98.06,28.94,464.2,50.3,25.0,2.0,3238.38,21.732,6,True,100
1923,65.678,75.929,55.421,98.06,21.02,552.3,34.0,19.0,9.0,2821.4999999999995,20.508000000000003,6,True,100
1924,63.713,74.012,53.411,96.08000000000001,23.0,653.3000000000001,99.1,14.0,4.0,2468.07,20.601,6,True,100
1925,68.585,80.045,57.119,102.02,24.98,359.5,57.4,43.0,4.0,3344.759999999999,22.926000000000002,6,True,100
1926,65.612,75.734,55.492999999999995,96.08000000000001,21.92,713.5,59.4,22.0,14.0,2810.4299999999976,20.241,6,True,100
1927,64.81400000000001,74.57000000000001,55.061,93.91999999999999,28.94,875.3,68.8,16.0,4.0,2666.79,19.509000000000007,6,True,100
1928,64.133,74.54899999999999,53.71099999999999,93.02,21.92,516.4,64.3,16.0,15.0,2543.399999999999,20.838,6,True,100
1929,65.273,75.293,55.24699999999999,93.02,30.02,738.9,80.5,9.0,3.0,2748.5999999999995,20.046000000000014,6,True,100
1930,68.59400000000001,80.315,56.882000000000005,105.08000000000001,28.94,338.2,51.1,40.0,5.0,3347.7300000000005,23.432999999999993,6,True,100
1931,68.357,78.974,57.737,98.96000000000001,26.96,643.1,99.3,43.0,2.0,3303.990000000001,21.237000000000002,6,True,100
