year,temp_avg_f,temp_max_f,temp_min_f,temp_extreme_max_f,temp_extreme_min_f,precip_total_mm,precip_max_daily_mm,days_max_gte_90f,days_min_lte_32f,gdd_base50,temp_range_f,months_available,complete_season,data_quality_score,acres_planted,acres_harvested,production_bushels,yield_bu_per_acre
1902,66.227,76.73,55.733,89.96000000000001,33.98,372.9,78.7,2.0,0.0,2921.670000000002,20.997,2,False,60,,10.85,444.85,41.0
1903,65.378,77.111,53.633,96.08,19.04,525.2,59.7,20.0,9.0,2766.96,23.478,6,True,100,,10.55,374.525,35.5
1904,64.028,75.488,52.568000000000005,91.94,21.92,394.7,40.9,8.0,12.0,2525.040000000001,22.919999999999995,6,True,100,,10.5,409.5,39.0
1905,66.533,77.603,55.454,96.98,26.06,480.4,43.9,19.0,11.0,2975.1299999999987,22.148999999999997,6,True,100,,10.5,441.0,42.0
1906,67.127,79.034,55.226,93.92,26.06,452.2,56.1,23.0,4.0,3083.399999999999,23.808000000000007,6,True,100,,10.5,409.5,39.0
1907,62.46200000000001,72.64399999999999,52.28,93.02,21.92,602.4,61.2,11.0,17.0,2243.1599999999994,20.36399999999999,6,True,100,,10.4,405.6,39.0
1908,66.194,77.054,55.343,93.92,19.94,536.9,44.2,19.0,5.0,2915.729999999999,21.71100000000001,6,True,100,,9.8,343.0,35.0
1909,64.688,75.182,54.197,93.92,21.92,738.7,61.0,18.0,10.0,2644.110000000001,20.985,6,True,100,,10.173,394.712,38.8
1910,65.012,75.77300000000001,54.245000000000005,95.0,23.0,493.4,38.1,17.0,8.0,2701.6200000000026,21.52800000000001,6,True,100,,10.15,416.15,41.0
1911,67.772,78.76700000000001,56.768,102.02,26.06,501.2,69.1,38.0,6.0,3198.1500000000024,21.99900000000001,6,True,100,,9.8,352.8,36.0
1912,66.125,76.079,56.171,95.0,28.94,486.9,45.0,17.0,4.0,2902.5,19.907999999999998,6,True,100,,10.0,400.0,40.0
1913,68.336,79.772,56.894,102.92,30.92,252.4,22.1,51.0,5.0,3299.94,22.878000000000007,6,True,100,,9.85,275.8,28.0
1914,67.709,78.665,56.75299999999999,98.96,21.92,340.8,34.8,43.0,8.0,3187.620000000001,21.912000000000013,6,True,100,,9.65,299.15,31.0
1915,64.829,74.50099999999999,55.163,89.96000000000001,26.06,621.5,77.2,1.0,7.0,2669.759999999999,19.337999999999987,6,True,100,,9.5,361.0,38.0
1916,66.143,76.907,55.385,100.94,26.06,399.8,37.6,38.0,6.0,2906.28,21.522,6,True,100,,9.55,296.05,31.0
1917,62.834,73.115,52.55,93.92,24.08,588.6,41.9,12.0,6.0,2309.8499999999995,20.56499999999999,6,True,100,,10.1,404.0,40.0
1918,64.733,75.464,54.008,100.94,23.0,749.1,77.0,20.0,9.0,2652.480000000001,21.456,6,True,100,,9.65,352.225,36.5
1919,67.139,78.098,56.177,96.08,24.08,505.5,59.9,33.0,4.0,3084.7500000000005,21.921,6,True,100,,7.908,284.688,36.0
1920,64.76,75.308,54.215,98.06,19.04,469.6,36.1,22.0,12.0,2657.0700000000024,21.093000000000004,6,True,100,,8.425,294.875,35.0
1921,69.197,79.445,58.946,98.06,26.06,626.4,114.3,37.0,5.0,3455.189999999999,20.498999999999995,6,True,100,,8.217,287.595,35.0
1922,67.988,78.857,57.125,98.06,28.94,464.2,50.3,25.0,2.0,3238.38,21.732,6,True,100,,7.313,259.612,35.5
1923,65.678,75.929,55.421,98.06,21.02,552.3,34.0,19.0,9.0,2821.4999999999995,20.508000000000003,6,True,100,,7.67,287.625,37.5
1924,63.713,74.012,53.411,96.08,23.0,653.3000000000001,99.1,14.0,4.0,2468.07,20.601,6,True,100,,7.928,261.624,33.0
1925,68.585,80.045,57.119,102.02,24.98,359.5,57.4,43.0,4.0,3344.759999999999,22.926,6,True,100,,8.562,351.042,41.0
1926,65.612,75.734,55.493,96.08,21.92,713.5,59.4,22.0,14.0,2810.4299999999976,20.241,6,True,100,9.205,8.287,298.332,36.0
1927,64.81400000000001,74.57000000000001,55.061,93.92,28.94,875.3,68.8,16.0,4.0,2666.79,19.509000000000007,6,True,100,8.469,7.572,242.304,32.0
1928,64.133,74.54899999999999,53.71099999999999,93.02,21.92,516.4,64.3,16.0,15.0,2543.399999999999,20.838,6,True,100,9.231,8.345,317.11,38.0
1929,65.273,75.293,55.24699999999999,93.02,30.02,738.9,80.5,9.0,3.0,2748.5999999999995,20.046000000000014,6,True,100,8.662,7.774,275.977,35.5
1930,68.59400000000001,80.315,56.882000000000005,105.08,28.94,338.2,51.1,40.0,5.0,3347.7300000000005,23.432999999999996,6,True,100,9.353,8.156,220.212,27.0
1931,68.357,78.974,57.737,98.96,26.96,643.1,99.3,43.0,2.0,3303.990000000001,21.237,6,True,100,9.886,8.894,329.078,37.0
1932,67.51100000000001,78.503,56.519000000000005,98.06,28.04,377.1,38.6,19.0,7.0,3151.979999999999,21.983999999999995,6,True,100,9.866,9.253,397.879,43.0
1933,69.365,80.222,58.499,100.04,30.92,521.5,66.3,46.0,3.0,3484.8900000000003,21.722999999999992,6,True,100,9.108,8.083,222.282,27.5
1934,69.479,80.69,58.268,104.0,28.94,529.7,64.8,49.0,5.0,3506.22,22.422,6,True,100,8.013,6.713,148.357,22.1
1935,65.20100000000001,74.738,55.667,96.08,28.94,605.9,43.2,19.0,6.0,2736.4500000000003,19.071,6,True,100,8.311,7.711,296.874,38.5
1936,69.494,81.008,57.971,107.96,19.94,460.8,46.0,56.0,12.0,3508.1099999999988,23.037,6,True,100,9.327,8.168,196.032,24.0
1937,66.63199999999999,76.913,56.345,95.0,28.94,558.1999999999999,78.5,23.0,5.0,2993.2199999999984,20.568,6,True,100,9.326,8.769,420.912,48.0
1938,67.535,77.477,57.587,96.08,26.06,652.3,61.2,16.0,7.0,3155.7599999999998,19.890000000000008,6,True,100,8.513,8.073,355.212,44.0
1939,67.646,78.431,56.861,98.96,21.02,538.2,90.2,21.0,8.0,3176.28,21.57,6,True,100,7.869,7.589,387.039,51.0
1940,66.215,77.23100000000001,55.205000000000005,98.96,21.92,451.5,36.3,31.0,7.0,2919.2400000000007,22.026000000000003,6,True,100,7.645,7.324,314.932,43.0
1941,69.005,79.77499999999999,58.232,98.96,33.98,664.3,48.3,31.0,0.0,3420.630000000001,21.542999999999992,6,True,100,7.721,7.451,394.903,53.0
1942,67.253,77.552,56.957,93.92,28.94,564.9,56.4,17.0,4.0,3105.8100000000013,20.59500000000001,6,True,100,7.837,7.443,401.922,54.0
1943,66.92,77.708,56.135,96.08,23.0,624.7,88.4,37.0,11.0,3045.869999999999,21.573,6,True,100,8.464,8.023,401.15,50.0
1944,68.255,79.079,57.431,98.06,23.0,717.3,78.0,42.0,6.0,3285.899999999999,21.64799999999999,6,True,100,9.226,8.804,399.702,45.4
1945,65.108,75.101,55.115,96.08,30.02,823.8,53.3,13.0,3.0,2719.4400000000005,19.986,6,True,100,8.245,7.756,360.654,46.5
1946,66.065,77.159,54.971,98.96,26.96,510.2,51.1,13.0,2.0,2891.7,22.188,6,True,100,8.945,8.553,478.968,56.0
1947,66.69500000000001,77.17999999999999,56.207,98.96,30.02,633.1,42.4,32.0,3.0,3004.83,20.973,6,True,100,8.677,8.189,323.466,39.5
1948,67.91,79.16,56.651,96.08,30.02,626.2,38.6,24.0,3.0,3222.9900000000007,22.508999999999997,6,True,100,9.298,8.965,546.865,61.0
1949,67.868,78.632,57.107,96.98,26.96,514.0,36.6,25.0,5.0,3216.51,21.52500000000001,6,True,100,9.28,8.947,483.138,54.0
1950,64.988,75.008,54.965,91.04,21.02,552.9,82.3,5.0,8.0,2697.570000000001,20.042999999999992,6,True,100,8.352,8.008,408.408,51.0
1951,64.997,74.903,55.091,95.0,28.94,534.8,59.7,8.0,7.0,2699.46,19.812000000000005,6,True,100,8.895,8.483,466.565,55.0
1952,68.219,79.45700000000001,56.984,98.96,28.94,535.1,37.8,42.0,4.0,3279.69,22.47300000000001,6,True,100,9.034,8.728,506.224,58.0
1953,68.21,80.282,56.141,102.92,26.06,293.1,23.9,49.0,6.0,3278.07,24.141,6,True,100,9.377,9.002,486.108,54.0
1954,69.506,81.33200000000001,57.68,109.04,21.92,452.0,28.4,55.0,5.0,3511.08,23.652000000000008,6,True,100,9.377,8.699,439.3,50.5
1955,69.587,80.573,58.59799999999999,98.06,30.02,499.4,61.2,43.0,1.0,3525.3899999999994,21.975,6,True,100,9.18,8.885,497.56,56.0
1956,66.377,77.564,55.187000000000005,98.06,28.04,458.3,32.3,23.0,7.0,2947.5900000000006,22.37699999999999,6,True,100,8.737,8.477,576.436,68.0
1957,66.917,76.82600000000001,57.011,93.92,23.0,651.8,70.1,19.0,7.0,3045.3300000000017,19.815000000000005,6,True,100,8.28,7.894,505.216,64.0
1958,65.89999999999999,76.283,55.52,95.0,32.0,697.4,77.5,7.0,1.0,2862.2699999999995,20.763,6,True,100,8.664,8.244,568.836,69.0
1959,69.218,80.20100000000001,58.23500000000001,96.98,28.04,457.5,63.0,43.0,3.0,3459.2400000000007,21.966,6,True,100,10.06,9.789,655.863,67.0
1960,67.247,77.654,56.843,96.98,26.06,522.5,49.0,17.0,4.0,3104.7299999999987,20.811,6,True,100,10.425,9.985,678.98,68.0
1961,65.52499999999999,76.265,54.782,93.92,21.02,651.3,57.4,27.0,9.0,2794.23,21.483,6,True,100,8.454,8.188,646.852,79.0
