station_id,date,temp_avg_f,temp_max_f,temp_min_f,temp_extreme_max_f,temp_extreme_min_f,precip_total_in,precip_max_daily_in,days_precip_01in,days_precip_10in,days_precip_1in,cooling_degree_days,heating_degree_days,cooling_dd_season,heating_dd_season,days_min_lte_32f,days_max_lte_32f,days_max_gte_70f,days_max_gte_90f,days_max_lte_0f,wind_speed_avg_mph,year,month,is_growing_season
USC00118740,1902-08-01,21.22,26.9,15.55,32.2,8.9,248.5,78.7,8.0,6.0,4.0,96.0,6.5,,,0.0,0.0,31.0,2.0,0.0,,1902,8,True
USC00118740,1902-09-01,16.81,22.8,10.82,28.9,1.1,124.4,47.0,9.0,8.0,1.0,22.9,68.6,,,0.0,0.0,19.0,0.0,0.0,,1902,9,True
USC00118740,1902-10-01,13.42,19.36,7.49,25.6,-0.6,53.4,25.4,6.0,2.0,1.0,3.3,155.5,,,2.0,0.0,13.0,0.0,0.0,,1902,10,False
USC00118740,1902-11-01,8.5,13.36,3.63,23.9,-10.0,61.7,24.1,8.0,6.0,0.0,0.3,295.4,,,8.0,0.0,6.0,0.0,0.0,,1902,11,False
USC00118740,1902-12-01,-2.92,0.96,-6.79,10.6,-17.8,74.7,12.4,12.0,8.0,0.0,0.0,658.7,,,28.0,10.0,0.0,0.0,1.0,,1902,12,False
USC00118740,1903-01-01,-4.52,0.0,-9.04,11.7,-24.4,26.4,9.7,5.0,5.0,0.0,0.0,708.5,0.0,,29.0,16.0,0.0,0.0,4.0,,1903,1,False
USC00118740,1903-02-01,-3.5,1.25,-8.25,12.8,-27.2,61.1,21.1,9.0,7.0,0.0,0.0,611.4,0.0,,25.0,10.0,0.0,0.0,5.0,,1903,2,False
USC00118740,1903-03-01,6.81,12.61,1.01,24.4,-9.4,36.5,10.7,8.0,5.0,0.0,1.6,358.8,1.6,,16.0,1.0,3.0,0.0,0.0,,1903,3,False
USC00118740,1903-04-01,10.43,17.0,3.85,26.7,-7.2,145.0,54.4,11.0,9.0,2.0,1.4,238.6,3.0,,7.0,0.0,8.0,0.0,0.0,,1903,4,True
USC00118740,1903-05-01,17.79,24.62,10.95,30.0,-3.3,100.4,59.7,7.0,5.0,1.0,51.6,68.5,54.6,,2.0,0.0,23.0,0.0,0.0,,1903,5,True
USC00118740,1903-06-01,18.62,24.67,12.57,32.2,4.4,65.0,16.0,8.0,8.0,0.0,38.0,29.5,92.6,,0.0,0.0,27.0,1.0,0.0,,1903,6,True
USC00118740,1903-07-01,23.81,29.98,17.63,35.6,12.2,130.4,45.5,7.0,6.0,2.0,169.7,0.0,262.3,0.0,0.0,0.0,31.0,12.0,0.0,,1903,7,True
USC00118740,1903-08-01,21.98,28.01,15.95,34.4,11.1,59.2,16.0,9.0,7.0,0.0,118.8,5.9,381.1,5.9,0.0,0.0,29.0,5.0,0.0,,1903,8,True
USC00118740,1903-09-01,18.63,26.09,11.16,32.2,1.7,25.2,8.9,5.0,4.0,0.0,61.5,52.7,442.6,58.6,0.0,0.0,26.0,2.0,0.0,,1903,9,True
USC00118740,1903-10-01,12.28,18.87,5.69,31.1,-6.1,68.6,25.4,6.0,4.0,1.0,12.7,200.4,455.3,259.0,6.0,0.0,11.0,0.0,0.0,,1903,10,False
USC00118740,1903-11-01,2.31,7.8,-3.18,20.0,-13.3,52.3,22.4,5.0,4.0,0.0,0.0,480.6,455.3,739.6,22.0,8.0,0.0,0.0,0.0,,1903,11,False
