year,acres_planted,acres_harvested,production_bushels,yield_bu_per_acre
1902,,10850000.0,444850000.0,41.0
1903,,10550000.0,374525000.0,35.5
1904,,10500000.0,409500000.0,39.0
1905,,10500000.0,441000000.0,42.0
1906,,10500000.0,409500000.0,39.0
1907,,10400000.0,405600000.0,39.0
1908,,9800000.0,343000000.0,35.0
1909,,10173000.0,394712000.0,38.8
1910,,10150000.0,416150000.0,41.0
1911,,9800000.0,352800000.0,36.0
1912,,10000000.0,400000000.0,40.0
1913,,9850000.0,275800000.0,28.0
1914,,9650000.0,299150000.0,31.0
1915,,9500000.0,361000000.0,38.0
1916,,9550000.0,296050000.0,31.0
1917,,10100000.0,404000000.0,40.0
1918,,9650000.0,352225000.0,36.5
1919,,7908000.0,284688000.0,36.0
1920,,8425000.0,294875000.0,35.0
1921,,8217000.0,287595000.0,35.0
1922,,7313000.0,259612000.0,35.5
1923,,7670000.0,287625000.0,37.5
1924,,7928000.0,261624000.0,33.0
1925,,8562000.0,351042000.0,41.0
1926,9205000.0,8287000.0,298332000.0,36.0
1927,8469000.0,7572000.0,242304000.0,32.0
1928,9231000.0,8345000.0,317110000.0,38.0
1929,8662000.0,7774000.0,275977000.0,35.5
1930,9353000.0,8156000.0,220212000.0,27.0
1931,9886000.0,8894000.0,329078000.0,37.0
1932,9866000.0,9253000.0,397879000.0,43.0
1933,9108000.0,8083000.0,222282000.0,27.5
1934,8013000.0,6713000.0,148357000.0,22.1
1935,8311000.0,7711000.0,296874000.0,38.5
1936,9327000.0,8168000.0,196032000.0,24.0
1937,9326000.0,8769000.0,420912000.0,48.0
1938,8513000.0,8073000.0,355212000.0,44.0
1939,7869000.0,7589000.0,387039000.0,51.0
1940,7645000.0,7324000.0,314932000.0,43.0
1941,7721000.0,7451000.0,394903000.0,53.0
1942,7837000.0,7443000.0,401922000.0,54.0
1943,8464000.0,8023000.0,401150000.0,50.0
1944,9226000.0,8804000.0,399702000.0,45.4
1945,8245000.0,7756000.0,360654000.0,46.5
1946,8945000.0,8553000.0,478968000.0,56.0
1947,8677000.0,8189000.0,323466000.0,39.5
1948,9298000.0,8965000.0,546865000.0,61.0
1949,9280000.0,8947000.0,483138000.0,54.0
1950,8352000.0,8008000.0,408408000.0,51.0
1951,8895000.0,8483000.0,466565000.0,55.0
1952,9034000.0,8728000.0,506224000.0,58.0
1953,9377000.0,9002000.0,486108000.0,54.0
1954,9377000.0,8699000.0,439300000.0,50.5
1955,9180000.0,8885000.0,497560000.0,56.0
1956,8737000.0,8477000.0,576436000.0,68.0
1957,8280000.0,7894000.0,505216000.0,64.0
1958,8664000.0,8244000.0,568836000.0,69.0
1959,10060000.0,9789000.0,655863000.0,67.0
1960,10425000.0,9985000.0,678980000.0,68.0
1961,8454000.0,8188000.0,646852000.0,79.0
1962,8623000.0,8270000.0,702950000.0,85.0
1963,9189000.0,8849000.0,769863000.0,87.0
1964,9608000.0,9253000.0,740240000.0,80.0
1965,10079000.0,9777000.0,919038000.0,94.0
1966,10684000.0,10342000.0,848044000.0,82.0
1967,11087000.0,10788000.0,1121952000.0,104.0
1968,10379000.0,10088000.0,907920000.0,90.0
1969,10081000.0,9698000.0,989196000.0,102.0
1970,10310000.0,9940000.0,735560000.0,74.0
1971,10370000.0,10070000.0,1067420000.0,106.0
1972,9540000.0,9225000.0,1014750000.0,110.0
1973,9830000.0,9530000.0,981590000.0,103.0
1974,10400000.0,9900000.0,811800000.0,82.0
1975,11100000.0,10810000.0,1253960000.0,116.0
1976,11900000.0,11590000.0,1240130000.0,107.0
1977,11550000.0,11280000.0,1184400000.0,105.0
1978,11450000.0,11170000.0,1239870000.0,111.0
1979,11300000.0,11050000.0,1403350000.0,127.0
1980,11700000.0,11440000.0,1063920000.0,93.0
1981,11600000.0,11320000.0,1426320000.0,126.0
1982,11700000.0,11440000.0,1498640000.0,131.0
1983,8200000.0,7900000.0,624100000.0,79.0
1984,11200000.0,10940000.0,1247160000.0,114.0
1985,11600000.0,11370000.0,1534950000.0,135.0
1986,10600000.0,10400000.0,1404000000.0,135.0
1987,9350000.0,9200000.0,1214400000.0,132.0
1988,9900000.0,9600000.0,700800000.0,73.0
1989,10900000.0,10750000.0,1322250000.0,123.0
1990,10600000.0,10400000.0,1320800000.0,127.0
1991,11200000.0,11000000.0,1177000000.0,107.0
1992,11200000.0,11050000.0,1646450000.0,149.0
1993,10500000.0,10000000.0,1300000000.0,130.0
1994,11600000.0,11450000.0,1786200000.0,156.0
1995,10200000.0,10000000.0,1130000000.0,113.0
1996,11000000.0,10800000.0,1468800000.0,136.0
1997,11200000.0,10780900.0,1372414201.0,129.0
1998,10600000.0,10450000.0,1473450000.0,141.0
1999,10800000.0,10650000.0,1491000000.0,140.0
